MALAT1
NEAT1
LARS2
DLEU2
MEIS2
FUS
PNISR
PSD3
SLC25A37
CLK1
NTN4
LTBP4
MSR1
HES1
EHD3
SERINC3
IL6ST
DLL4
EFNB2
EPAS1
WNT2
CYP26B1
LYVE1
GAS6
PLXNC1
TCN2
CTSD
KIT
CD55
CLEC4G
LY6A
LY6C1
ATP13A3
EDNRB
CLU
ADGRG6
CST3
EFNB1
TM4SF1
FBLN2
RSPO3
BMP4
ALCAM
GPM6A
SELP
TGFB2
RBMS3
CYP1B1
VWF
SAMD5
EEF1A1
RPL32
RPL10A
RPS7
RPS4X
RPS19
PCDH17
LGALS1
CXCL9
CXCL10
MYC
ODC1
VEGFA
KCNE3
ESM1
APLN
ANGPT2
CD34
FABP5
MIF
MCM6
MCM5
LIG1
MCM2
MCM3
HELLS
CKAP4
PCNA
MCM7
MCM4
TOP2A
STMN1
MKI67
HMGB2
CENPF
PCLAF
UBE2C
HIST1H2AP
HIST1H2AE
PRC1
CYB5R3
FTL1
TMSB4X
CENPB
RPL21
CTNNB1
CAR8
IFITM2
RPS27
RPL30
